# Photoabsorption spectrum from real-time propagation
# GPAW version: 22.8.0
# Total time = 20.0000 fs, Time steps = [0.0000, 8.0000] as
# Kick = [0, 0, 0.001]
# Gaussian folding, Width = 0.2123 eV = 0.007802 Hartree <=> FWHM = 0.499928 eV
#    om (eV)                  S_x                  S_y                  S_z
    4.050000     0.0000000000e+00     0.0000000000e+00     3.9249210672e-02
    4.100000     0.0000000000e+00     0.0000000000e+00     4.4829115455e-02
    4.150000     0.0000000000e+00     0.0000000000e+00     4.8654451915e-02
    4.200000    -0.0000000000e+00    -0.0000000000e+00     5.0314220492e-02
    4.250000    -0.0000000000e+00    -0.0000000000e+00     4.9783975443e-02
    4.300000    -0.0000000000e+00    -0.0000000000e+00     4.7427357660e-02
    4.350000    -0.0000000000e+00    -0.0000000000e+00     4.3888998166e-02
    4.400000    -0.0000000000e+00    -0.0000000000e+00     3.9917589772e-02
    4.450000    -0.0000000000e+00    -0.0000000000e+00     3.6181356100e-02
    4.500000     0.0000000000e+00     0.0000000000e+00     3.3134095776e-02
    4.550000     0.0000000000e+00     0.0000000000e+00     3.0963320822e-02
    4.600000     0.0000000000e+00     0.0000000000e+00     2.9618358229e-02
    4.650000     0.0000000000e+00     0.0000000000e+00     2.8891831491e-02
    4.700000     0.0000000000e+00     0.0000000000e+00     2.8520330508e-02
    4.750000     0.0000000000e+00     0.0000000000e+00     2.8276124305e-02
    4.800000     0.0000000000e+00     0.0000000000e+00     2.8032435100e-02
    4.850000     0.0000000000e+00     0.0000000000e+00     2.7792857178e-02
    4.900000     0.0000000000e+00     0.0000000000e+00     2.7680102523e-02
    4.950000     0.0000000000e+00     0.0000000000e+00     2.7884508093e-02
    5.000000     0.0000000000e+00     0.0000000000e+00     2.8582384981e-02
    5.050000     0.0000000000e+00     0.0000000000e+00     2.9846948558e-02
    5.100000     0.0000000000e+00     0.0000000000e+00     3.1583453288e-02
    5.150000     0.0000000000e+00     0.0000000000e+00     3.3517534976e-02
    5.200000     0.0000000000e+00     0.0000000000e+00     3.5248986518e-02
    5.250000     0.0000000000e+00     0.0000000000e+00     3.6357904948e-02
    5.300000     0.0000000000e+00     0.0000000000e+00     3.6528128391e-02
    5.350000     0.0000000000e+00     0.0000000000e+00     3.5645509604e-02
